s5 pm10,m pm10,s1 pm10,s2 pm10,s3 pm10,s4 pm10
71.1,109.9,82.6,0,0,80.4
72,111.5,83.4,0,0,79.4
71,117.7,83.5,0,0,76
72.9,121.8,82,0,0,80.3
70.6,120.5,84.8,0,0,82.1
72.8,127.1,85.8,0,0,81
71.8,125.5,81.4,0,0,78.5
70.2,125.4,82.5,0,0,82.8
76.5,126.5,84,0,0,85.4
77.3,126.5,80.5,0,0,85.4
79.1,121.6,78,0,0,87.1
77.3,111,82.6,0,0,86.7
76.5,115,84.4,0,0,85.9
76.7,109.6,80.8,0,0,85.9
70.8,104.2,78.4,0,0,86.8
71.3,104.8,80.9,0,0,81.8
71.1,102.4,81.4,0,0,79.7
72.9,106.2,74.7,0,0,80.3
72.7,101.6,73.4,0,0,82.5
70.1,97.3,71.6,0,0,79.8
68.2,101.4,71.9,0,0,79.9
69.9,97.8,71.6,0,0,78.6
69.9,100.5,74.5,0,0,79
68.1,101.2,75.2,0,0,82.7
69.5,100,73,0,0,81.7
75,100.3,78.4,0,0,81.7
77,100.7,78.7,0,0,80.9
74.9,106.7,78,0,0,85.4
74.4,100.8,77.6,0,0,80.4
75.8,98.6,80.3,0,0,78.1
72.7,97.5,82.5,0,0,78.4
70.3,101.2,81,0,0,80
68.7,98.7,81.1,0,0,78
72.4,92.8,81.6,0,0,76.1
72.8,95.1,80.7,0,0,79.3
73.2,95.1,79.3,0,0,77.2
74.4,92.9,81.1,0,0,80.1
73.4,96.7,82.4,0,0,84.2
75.3,97.2,80.5,0,0,87.8
72.5,100.3,84.5,0,0,88.1
72.3,101.8,82.3,0,0,87.2
71.7,106.1,82.1,0,0,89.4
74.3,109.8,77.9,0,0,85.8
74.7,112.1,77,0,0,85.7
75.4,117.4,81.3,0,0,85.5
75.4,117.1,77.2,0,0,86.8
73.5,117.3,78.5,0,0,86.4
73.1,119.6,78.6,0,0,85.9
71.3,117.5,76.8,0,0,86.6
73.1,120.4,77.3,0,0,84.2
74.2,114.3,75.3,0,0,82.1
72.6,112.2,75.8,0,0,82.8
75.7,111.2,78.7,0,0,84.9
74.9,109.7,78.3,0,0,80.7
76.4,108.4,77.5,0,0,79.4
69,106.3,76.3,0,0,80.1
64.6,104.3,76.4,0,0,78.9
70.2,102.7,76.2,0,0,75.9
68.3,106.5,75.9,0,0,75.7
68.7,101.9,74.8,0,0,81.6
69.2,97.2,80.8,0,0,78.4
74.3,94.7,81.7,0,0,77.5
76.8,97.3,81.7,0,0,81.5
70.3,100.8,85.2,0,0,83.3
68.7,104.9,82.9,0,0,83.1
68.2,105,85.4,0,0,83.2
67.7,108,83.1,0,0,85.9
69.9,114.7,83.2,0,0,89.1
70.7,113.3,84.5,0,0,85.3
79.2,110.8,86.5,0,0,84.3
85.6,104.4,84.7,0,0,82.8
89.6,108.8,82.7,0,0,84.1
91.5,108.3,78.4,0,0,83.7
90.7,107.1,77.6,0,0,83.4
89.5,109,76.2,0,0,85.7
85.3,109.3,69.1,0,0,85.1
80.5,108.3,74.4,0,0,89.4
78.1,110.9,72.4,0,0,86.8
76.6,109.1,71.6,0,0,85.4
67.4,102.3,76.4,0,0,83.6
65.2,96.1,76.3,0,0,84.4
62.6,95.8,79.1,0,0,90.8
61.7,92.4,75.6,0,0,88.7
62.3,91,81.8,0,0,88
61.2,89.1,81,0,0,90.4
62.5,90,79,0,0,94.4
62.7,90.9,76.9,0,0,98.4
68,90.7,76.7,0,0,96.2
70.4,98.1,79.4,0,0,97.4
73,99.7,76,0,0,102.1
75.2,100.1,75.7,0,0,103.1
78,99,74.1,0,0,100.3
81.9,101.8,77.2,0,0,98.1
84,102.1,76,0,0,100
84.7,101.5,75,0,0,101.2
84.7,101.3,76.6,0,0,98.1
86.9,102.8,78,0,0,96.5
83.1,105.7,79.7,0,0,100.9
82,101.2,77.6,0,0,101.7
77.4,104.4,80.5,0,0,99.4
76,108.1,80.5,0,0,96.4
73.2,107.2,77.4,0,0,97.9
72,111.3,77.3,0,0,97.4
75.4,110.1,77.8,0,0,93.7
74.5,118.1,80.5,0,0,91.6
79.7,122.3,78.2,0,0,89.3
75,118.9,80.9,0,0,91.5
78.7,126.3,81.5,0,0,89.9
79,128.5,82.9,0,0,89.8
80.1,128.8,83.9,0,0,87.7
79.7,128.1,81.4,0,0,89.6
74.3,125.8,79.7,0,0,90.7
78.4,123.1,77.2,0,0,89
75.2,120.1,80,0,0,90.1
72.2,117.2,81.4,0,0,90.5
68.6,116.8,78,0,0,93.9
75.3,119.7,80.5,0,0,88.8
76.4,116.6,84.4,0,0,88.3
75.5,114.2,84.9,0,0,89.2
80.6,114.5,83.2,0,0,83.6
84.3,117.8,80.3,0,0,80.7
84.3,119,83.5,0,0,76.1
83,112.7,84.8,0,0,78.6
87.2,113.3,82.4,0,0,81.7
88,115.9,82.4,0,0,81.6
84.1,113.6,83,0,0,85.4
79.8,109.2,86.8,0,0,85.9
85,107.9,86.1,0,0,88.6
82.1,111.9,79.9,0,0,87.7
81,113.2,79.2,0,0,85.8
78.5,109.2,80.5,0,0,85.8
78.8,108.6,80.6,0,0,87.4
81.5,108.5,74.2,0,0,88.4
79.1,105.1,71.7,0,0,90
80.3,100.4,74.1,0,0,93
81.1,95.3,76.2,0,0,92.3
73.3,104.3,81.4,0,0,92
74.4,103,80.6,0,0,92.2
76.4,106.2,83.1,0,0,96.9
76,107.6,84.4,0,0,97.1
77.6,107.1,79.3,0,0,93
75,111.1,78.2,0,0,93.8
72.3,113.4,76,0,0,94.9
71.4,121.4,77.7,0,0,94.3
69.7,116.8,79.6,0,0,91.7
68.9,118.7,77.1,0,0,92.4
69.2,119.7,80,0,0,96
71.2,118.4,76.2,0,0,98.8
73.3,118.6,73.5,0,0,105.1
75.3,118.9,71.8,0,0,99.4
80.2,116,67.8,0,0,100.8
83.8,119.6,68.1,0,0,99.5
89.3,117.9,66.6,0,0,98.4
93.6,122.1,66.5,0,0,96.7
93.5,125.6,67.2,0,0,95
91.5,127.6,69,0,0,98.7
91.2,127.2,68.2,0,0,97.3
95.6,125.2,69.6,0,0,100.7
88.9,128.9,68.2,0,0,103.4
86.1,125.7,72.1,0,0,106.3
86.7,123.4,72.9,0,0,103.4
89.6,120.6,73.9,0,0,105.5
89.4,122.9,77.5,0,0,104.7
86.4,120.9,82,0,0,103.8
89.3,119.3,87,0,0,102.1
89.6,116.3,88.1,0,0,102.4
90,119.5,90.6,0,0,104.6
86.4,125.5,95.7,0,0,104.9
86.4,124.1,101.8,0,0,108
83.7,120.5,102.8,0,0,105.4
85.8,120.5,108.7,0,0,102.9
85.7,114,107.6,0,0,99
86.5,112.9,109.4,0,0,102.4
86.7,108.1,101.2,0,0,103.2
82.9,104.1,96.1,0,0,104
80.9,108.1,92.5,0,0,107
79,111.7,88.1,0,0,109.5
79.4,132.4,99,0,0,115.4
77,127.5,95.2,0,0,112.3
80.2,126.9,96.7,0,0,106.6
82.9,125.6,102,0,0,104.6
88.6,128.5,103.4,0,0,104.5
85.1,126.5,91.7,0,0,103.2
84.3,115.4,90.7,0,0,99.5
85.5,117.7,92.1,0,0,100.4
83.4,119.8,92.7,0,0,104.5
83.7,122.5,90.3,0,0,103.8
83.7,116.4,87.8,0,0,105.5
85.9,116.7,85.9,0,0,104.9
87.3,111.9,84.9,0,0,103.4
86.2,115.4,87.5,0,0,98.7
85.2,114.9,85.2,0,0,97.7
83.2,119.9,87.1,0,0,101.4
82,117.6,87.3,0,0,98.4
81.4,114.1,93.4,0,0,100.3
83.8,114.6,89.7,0,0,102.4
84.2,105.7,87.7,0,0,106.1
90.8,103.2,88,0,0,105.5
87.6,98.9,85,0,0,101.7
89.6,106.1,81.2,0,0,106
87,105,79.9,0,0,103.5
81.1,106.4,80.1,0,0,103.2
78.1,110.1,81.6,0,0,102.7
73.5,110.4,83.8,0,0,105.5
75.6,110.2,83,0,0,111.6
74.3,109.1,80.4,0,0,111.4
75.8,108.8,79.1,0,0,112.8
78,113,81.1,0,0,113.6
79.9,116.6,78.9,0,0,112.4
83.3,120.7,75.9,0,0,115.6
83.4,121.4,78.8,0,0,115.3
83.2,116,83.9,0,0,111.1
83.6,114.2,84.1,0,0,112.8
83.8,112.8,80.6,0,0,113.6
81.3,110.5,80.7,0,0,114.2
78.7,103.3,82.6,0,0,112.8
78.4,107.6,78.9,0,0,105
79.5,116.5,76.5,0,0,107.3
78.1,119.2,76.4,0,0,105.3
75.8,120.6,77.2,0,0,107.5
74,109.2,76.5,0,0,103.5
74.3,109.5,79.3,0,0,100.4
73.3,106.6,81,0,0,103.6
71,102.3,78.6,0,0,101
70.5,98.6,77.5,0,0,100.7
71,98,82.3,0,0,96.1
71.7,103.1,80.9,0,0,101.4
75.6,98.9,79.2,0,0,102.3
75.7,104.9,78.8,0,0,104.6
77,103,84.6,0,0,105.3
75.7,103.9,88.8,0,0,104.3
72.7,103,88.3,0,0,102.3
74.1,104.5,86.9,0,0,100.2
